ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-05-01 22:00:00+00:00,33,1,7370,1909.7,1909.7,1909.7,1909.7,2,MGCQ2
2022-05-01 22:00:00+00:00,33,1,37691,1919.8,1919.8,1919.8,1919.8,1,MGCZ2
2022-05-01 22:00:00+00:00,33,1,19256,1896.9,1897.6,1895.3,1897.0,182,MGCM2
2022-05-01 22:00:00+00:00,33,1,80207,-22.6,-22.6,-22.6,-22.6,1,MGCM2-MGCZ2
2022-05-01 22:01:00+00:00,33,1,19256,1897.1,1898.4,1897.0,1898.0,44,MGCM2
2022-05-01 22:02:00+00:00,33,1,19256,1898.4,1899.3,1898.4,1898.9,42,MGCM2
2022-05-01 22:03:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,1,MGCM2-MGCQ2
2022-05-01 22:03:00+00:00,33,1,19256,1899.2,1900.1,1898.6,1899.7,24,MGCM2
2022-05-01 22:04:00+00:00,33,1,19256,1899.5,1900.2,1899.4,1899.8,34,MGCM2
2022-05-01 22:05:00+00:00,33,1,7370,1906.6,1906.6,1906.4,1906.4,2,MGCQ2
2022-05-01 22:05:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,2,MGCM2-MGCQ2
2022-05-01 22:05:00+00:00,33,1,19256,1899.9,1899.9,1899.0,1899.0,29,MGCM2
2022-05-01 22:06:00+00:00,33,1,7370,1905.6,1905.6,1905.6,1905.6,2,MGCQ2
2022-05-01 22:06:00+00:00,33,1,19256,1898.9,1898.9,1898.5,1898.9,27,MGCM2
2022-05-01 22:06:00+00:00,33,1,26815,-7.0,-6.9,-7.0,-6.9,2,MGCM2-MGCQ2
2022-05-01 22:07:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,2,MGCM2-MGCQ2
2022-05-01 22:07:00+00:00,33,1,19256,1898.6,1898.6,1897.9,1898.1,10,MGCM2
2022-05-01 22:07:00+00:00,33,1,7370,1905.6,1905.6,1905.6,1905.6,2,MGCQ2
2022-05-01 22:08:00+00:00,33,1,19256,1898.0,1899.1,1897.9,1899.1,11,MGCM2
2022-05-01 22:09:00+00:00,33,1,19256,1898.7,1899.0,1898.7,1898.7,18,MGCM2
2022-05-01 22:10:00+00:00,33,1,19256,1898.7,1899.1,1898.1,1899.1,20,MGCM2
2022-05-01 22:10:00+00:00,33,1,7370,1905.6,1905.6,1905.6,1905.6,2,MGCQ2
2022-05-01 22:10:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,2,MGCM2-MGCQ2
2022-05-01 22:11:00+00:00,33,1,19256,1898.6,1899.0,1898.6,1899.0,6,MGCM2
2022-05-01 22:12:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,2,MGCM2-MGCQ2
2022-05-01 22:12:00+00:00,33,1,19256,1899.0,1899.0,1898.3,1898.3,14,MGCM2
2022-05-01 22:12:00+00:00,33,1,7370,1905.6,1905.6,1905.6,1905.6,2,MGCQ2
2022-05-01 22:13:00+00:00,33,1,19256,1898.4,1898.8,1898.4,1898.8,8,MGCM2
2022-05-01 22:14:00+00:00,33,1,7370,1905.6,1905.6,1905.6,1905.6,1,MGCQ2
2022-05-01 22:14:00+00:00,33,1,19256,1898.9,1899.1,1898.6,1898.6,25,MGCM2
2022-05-01 22:14:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,1,MGCM2-MGCQ2
2022-05-01 22:15:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,1,MGCM2-MGCQ2
2022-05-01 22:15:00+00:00,33,1,19256,1898.8,1898.8,1898.6,1898.6,11,MGCM2
2022-05-01 22:15:00+00:00,33,1,7370,1905.6,1905.6,1905.6,1905.6,1,MGCQ2
2022-05-01 22:16:00+00:00,33,1,19256,1898.5,1898.5,1898.0,1898.1,9,MGCM2
2022-05-01 22:17:00+00:00,33,1,19256,1898.1,1898.2,1898.0,1898.0,12,MGCM2
2022-05-01 22:18:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,2,MGCM2-MGCQ2
2022-05-01 22:18:00+00:00,33,1,19256,1897.8,1897.8,1897.5,1897.8,21,MGCM2
2022-05-01 22:18:00+00:00,33,1,7370,1904.6,1904.8,1904.6,1904.8,2,MGCQ2
2022-05-01 22:19:00+00:00,33,1,37691,1921.0,1921.0,1921.0,1921.0,1,MGCZ2
2022-05-01 22:19:00+00:00,33,1,19256,1897.7,1898.0,1897.6,1898.0,3,MGCM2
2022-05-01 22:20:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,2,MGCM2-MGCQ2
2022-05-01 22:20:00+00:00,33,1,19256,1898.0,1898.1,1898.0,1898.0,5,MGCM2
2022-05-01 22:20:00+00:00,33,1,7370,1905.0,1905.0,1905.0,1905.0,2,MGCQ2
2022-05-01 22:21:00+00:00,33,1,19256,1898.1,1898.1,1898.1,1898.1,2,MGCM2
2022-05-01 22:22:00+00:00,33,1,19256,1897.8,1897.9,1897.8,1897.9,2,MGCM2
2022-05-01 22:23:00+00:00,33,1,7370,1905.0,1905.0,1905.0,1905.0,1,MGCQ2
2022-05-01 22:23:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,1,MGCM2-MGCQ2
2022-05-01 22:23:00+00:00,33,1,19256,1898.0,1898.0,1897.9,1897.9,5,MGCM2
2022-05-01 22:25:00+00:00,33,1,19256,1897.6,1897.6,1897.3,1897.4,29,MGCM2
2022-05-01 22:26:00+00:00,33,1,19256,1897.5,1897.9,1897.3,1897.3,14,MGCM2
2022-05-01 22:27:00+00:00,33,1,19256,1897.4,1897.5,1897.4,1897.5,4,MGCM2
2022-05-01 22:28:00+00:00,33,1,19256,1897.5,1898.0,1897.5,1898.0,8,MGCM2
2022-05-01 22:29:00+00:00,33,1,19256,1897.8,1897.8,1897.8,1897.8,1,MGCM2
2022-05-01 22:30:00+00:00,33,1,26815,-7.0,-7.0,-7.0,-7.0,1,MGCM2-MGCQ2
2022-05-01 22:30:00+00:00,33,1,19256,1897.7,1897.7,1896.8,1897.1,35,MGCM2
2022-05-01 22:30:00+00:00,33,1,7370,1904.7,1904.7,1904.7,1904.7,1,MGCQ2
2022-05-01 22:31:00+00:00,33,1,19256,1896.8,1897.5,1896.6,1897.3,419,MGCM2
2022-05-01 22:32:00+00:00,33,1,19256,1897.3,1898.1,1897.3,1898.0,17,MGCM2
2022-05-01 22:33:00+00:00,33,1,19256,1897.9,1898.0,1897.4,1897.4,7,MGCM2
2022-05-01 22:34:00+00:00,33,1,19256,1897.4,1897.6,1897.3,1897.6,21,MGCM2
2022-05-01 22:35:00+00:00,33,1,19256,1897.7,1897.8,1897.6,1897.8,13,MGCM2
2022-05-01 22:36:00+00:00,33,1,26815,-6.9,-6.9,-6.9,-6.9,3,MGCM2-MGCQ2
2022-05-01 22:36:00+00:00,33,1,19256,1897.9,1898.5,1897.9,1898.5,20,MGCM2
2022-05-01 22:36:00+00:00,33,1,7370,1904.8,1904.8,1904.8,1904.8,3,MGCQ2
2022-05-01 22:37:00+00:00,33,1,19256,1898.5,1898.6,1898.4,1898.6,12,MGCM2
2022-05-01 22:38:00+00:00,33,1,19256,1898.6,1898.7,1898.4,1898.5,10,MGCM2
2022-05-01 22:39:00+00:00,33,1,19256,1898.1,1898.2,1897.9,1898.1,15,MGCM2
2022-05-01 22:40:00+00:00,33,1,19256,1898.1,1898.6,1898.1,1898.4,28,MGCM2
2022-05-01 22:41:00+00:00,33,1,19256,1898.5,1898.5,1898.2,1898.2,10,MGCM2
2022-05-01 22:42:00+00:00,33,1,19256,1897.9,1898.0,1897.9,1897.9,10,MGCM2
2022-05-01 22:43:00+00:00,33,1,19256,1897.9,1897.9,1897.9,1897.9,1,MGCM2
2022-05-01 22:44:00+00:00,33,1,19256,1898.1,1898.1,1898.1,1898.1,5,MGCM2
2022-05-01 22:45:00+00:00,33,1,19256,1898.0,1898.1,1898.0,1898.1,6,MGCM2
2022-05-01 22:46:00+00:00,33,1,19256,1898.2,1898.2,1897.9,1897.9,3,MGCM2
2022-05-01 22:47:00+00:00,33,1,19256,1897.9,1898.1,1897.9,1897.9,4,MGCM2
2022-05-01 22:48:00+00:00,33,1,19256,1898.0,1898.1,1898.0,1898.1,3,MGCM2
