ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-06-01 00:00:00+00:00,33,1,18376,1983.6,1983.7,1983.6,1983.6,10,MGCQ3
2023-06-01 00:01:00+00:00,33,1,18376,1983.5,1983.5,1983.5,1983.5,4,MGCQ3
2023-06-01 00:02:00+00:00,33,1,64996,-38.2,-38.2,-38.2,-38.2,1,MGCQ3-MGCZ3
2023-06-01 00:02:00+00:00,33,1,18376,1983.8,1983.8,1983.7,1983.7,7,MGCQ3
2023-06-01 00:02:00+00:00,33,1,35696,2022.0,2022.0,2022.0,2022.0,1,MGCZ3
2023-06-01 00:03:00+00:00,33,1,18376,1983.7,1983.7,1983.7,1983.7,3,MGCQ3
2023-06-01 00:04:00+00:00,33,1,18376,1983.4,1983.4,1983.4,1983.4,13,MGCQ3
2023-06-01 00:05:00+00:00,33,1,18376,1983.3,1983.3,1982.8,1982.8,27,MGCQ3
2023-06-01 00:06:00+00:00,33,1,18376,1982.8,1983.1,1982.7,1982.9,32,MGCQ3
2023-06-01 00:07:00+00:00,33,1,18376,1982.9,1983.3,1982.9,1983.3,13,MGCQ3
2023-06-01 00:08:00+00:00,33,1,18376,1983.2,1983.3,1983.0,1983.2,15,MGCQ3
2023-06-01 00:09:00+00:00,33,1,18376,1983.1,1983.3,1983.1,1983.3,7,MGCQ3
2023-06-01 00:10:00+00:00,33,1,18376,1983.4,1983.4,1983.4,1983.4,4,MGCQ3
2023-06-01 00:11:00+00:00,33,1,18376,1983.6,1983.9,1983.6,1983.8,30,MGCQ3
2023-06-01 00:12:00+00:00,33,1,18376,1983.8,1984.1,1983.8,1984.0,9,MGCQ3
2023-06-01 00:13:00+00:00,33,1,18376,1984.2,1984.6,1984.1,1984.3,42,MGCQ3
2023-06-01 00:13:00+00:00,33,1,30885,-17.3,-17.3,-17.3,-17.3,1,MGCM3-MGCQ3
2023-06-01 00:13:00+00:00,33,1,12437,1966.9,1966.9,1966.9,1966.9,1,MGCM3
2023-06-01 00:14:00+00:00,33,1,18376,1984.3,1984.3,1983.7,1983.7,8,MGCQ3
2023-06-01 00:15:00+00:00,33,1,18376,1983.7,1983.8,1983.5,1983.6,14,MGCQ3
2023-06-01 00:16:00+00:00,33,1,18376,1983.9,1984.0,1983.8,1983.9,5,MGCQ3
2023-06-01 00:17:00+00:00,33,1,18376,1984.0,1984.1,1983.7,1983.7,21,MGCQ3
2023-06-01 00:18:00+00:00,33,1,18376,1983.7,1983.7,1983.5,1983.7,7,MGCQ3
2023-06-01 00:19:00+00:00,33,1,18376,1983.7,1983.9,1983.7,1983.8,7,MGCQ3
2023-06-01 00:20:00+00:00,33,1,18376,1983.8,1984.0,1983.8,1984.0,6,MGCQ3
2023-06-01 00:21:00+00:00,33,1,18376,1984.0,1984.0,1983.9,1983.9,6,MGCQ3
2023-06-01 00:22:00+00:00,33,1,18376,1984.0,1984.3,1984.0,1984.3,6,MGCQ3
2023-06-01 00:23:00+00:00,33,1,18376,1984.3,1984.6,1984.3,1984.6,13,MGCQ3
2023-06-01 00:24:00+00:00,33,1,18376,1984.6,1984.6,1984.4,1984.5,10,MGCQ3
2023-06-01 00:25:00+00:00,33,1,18376,1984.5,1984.8,1984.5,1984.6,31,MGCQ3
2023-06-01 00:26:00+00:00,33,1,18376,1984.6,1984.6,1984.4,1984.4,16,MGCQ3
2023-06-01 00:27:00+00:00,33,1,18376,1984.5,1984.5,1984.4,1984.4,17,MGCQ3
2023-06-01 00:28:00+00:00,33,1,18376,1984.3,1984.3,1984.1,1984.1,15,MGCQ3
