ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-06-02 22:00:00+00:00,33,1,1974,2399.7,2399.7,2395.0,2395.3,7,MGCZ4
2024-06-02 22:00:00+00:00,33,1,1798,2347.9,2349.9,2347.7,2349.2,183,MGCQ4
2024-06-02 22:00:00+00:00,33,1,25115,-45.8,-45.8,-46.0,-46.0,2,MGCQ4-MGCZ4
2024-06-02 22:01:00+00:00,33,1,1798,2349.3,2349.7,2348.7,2349.5,63,MGCQ4
2024-06-02 22:02:00+00:00,33,1,1798,2349.6,2350.0,2349.4,2349.5,45,MGCQ4
2024-06-02 22:02:00+00:00,33,1,12523,-22.4,-22.4,-22.4,-22.4,2,MGCM4-MGCQ4
2024-06-02 22:03:00+00:00,33,1,1798,2349.6,2349.8,2349.2,2349.2,34,MGCQ4
2024-06-02 22:04:00+00:00,33,1,4119885,2461.7,2461.7,2461.7,2461.7,1,MGCM5
2024-06-02 22:04:00+00:00,33,1,4120569,-112.3,-112.3,-112.3,-112.3,1,MGCQ4-MGCM5
2024-06-02 22:04:00+00:00,33,1,1798,2349.3,2349.6,2349.2,2349.2,12,MGCQ4
2024-06-02 22:05:00+00:00,33,1,1798,2349.0,2349.1,2348.3,2348.8,84,MGCQ4
2024-06-02 22:06:00+00:00,33,1,1798,2348.8,2349.0,2348.1,2348.8,29,MGCQ4
2024-06-02 22:07:00+00:00,33,1,1798,2348.1,2348.1,2347.1,2347.1,42,MGCQ4
2024-06-02 22:08:00+00:00,33,1,1798,2347.4,2348.0,2347.2,2348.0,26,MGCQ4
2024-06-02 22:09:00+00:00,33,1,1798,2347.9,2348.0,2346.8,2347.1,43,MGCQ4
2024-06-02 22:10:00+00:00,33,1,12523,-22.4,-22.4,-22.4,-22.4,1,MGCM4-MGCQ4
2024-06-02 22:10:00+00:00,33,1,33111,2369.3,2369.4,2368.3,2368.9,4,MGCV4
2024-06-02 22:10:00+00:00,33,1,1798,2347.5,2347.5,2345.0,2345.9,101,MGCQ4
2024-06-02 22:10:00+00:00,33,1,3228,2323.5,2323.5,2323.5,2323.5,1,MGCM4
2024-06-02 22:10:00+00:00,33,1,140737,-22.8,-22.8,-22.8,-22.8,4,MGCQ4-MGCV4
2024-06-02 22:11:00+00:00,33,1,140737,-22.8,-22.8,-22.8,-22.8,1,MGCQ4-MGCV4
2024-06-02 22:11:00+00:00,33,1,33111,2368.9,2368.9,2368.9,2368.9,1,MGCV4
2024-06-02 22:11:00+00:00,33,1,1798,2346.0,2346.3,2345.4,2345.9,40,MGCQ4
2024-06-02 22:11:00+00:00,33,1,3228,2323.6,2323.6,2323.6,2323.6,4,MGCM4
2024-06-02 22:11:00+00:00,33,1,12523,-22.4,-22.4,-22.4,-22.4,4,MGCM4-MGCQ4
2024-06-02 22:12:00+00:00,33,1,33111,2368.0,2368.0,2367.4,2367.4,4,MGCV4
2024-06-02 22:12:00+00:00,33,1,140737,-22.8,-22.6,-22.8,-22.6,4,MGCQ4-MGCV4
2024-06-02 22:12:00+00:00,33,1,25115,-45.9,-45.9,-45.9,-45.9,1,MGCQ4-MGCZ4
2024-06-02 22:12:00+00:00,33,1,1798,2345.9,2345.9,2344.4,2344.9,69,MGCQ4
2024-06-02 22:12:00+00:00,33,1,1974,2390.6,2390.6,2390.6,2390.6,1,MGCZ4
2024-06-02 22:13:00+00:00,33,1,1798,2344.9,2345.5,2344.8,2345.2,29,MGCQ4
2024-06-02 22:13:00+00:00,33,1,25115,-45.8,-45.8,-45.8,-45.8,3,MGCQ4-MGCZ4
2024-06-02 22:13:00+00:00,33,1,1974,2391.0,2391.0,2391.0,2391.0,3,MGCZ4
2024-06-02 22:14:00+00:00,33,1,1798,2345.4,2345.4,2345.1,2345.2,10,MGCQ4
2024-06-02 22:14:00+00:00,33,1,140737,-22.8,-22.8,-22.8,-22.8,1,MGCQ4-MGCV4
2024-06-02 22:14:00+00:00,33,1,33111,2368.0,2368.0,2368.0,2368.0,1,MGCV4
2024-06-02 22:15:00+00:00,33,1,1798,2345.5,2346.0,2345.2,2345.9,37,MGCQ4
2024-06-02 22:15:00+00:00,33,1,1974,2391.4,2391.4,2391.4,2391.4,2,MGCZ4
2024-06-02 22:15:00+00:00,33,1,25115,-45.8,-45.8,-45.8,-45.8,2,MGCQ4-MGCZ4
2024-06-02 22:16:00+00:00,33,1,25115,-45.8,-45.8,-45.8,-45.8,1,MGCQ4-MGCZ4
2024-06-02 22:16:00+00:00,33,1,1974,2391.9,2391.9,2391.9,2391.9,1,MGCZ4
2024-06-02 22:16:00+00:00,33,1,1798,2346.0,2346.2,2345.9,2346.2,24,MGCQ4
2024-06-02 22:17:00+00:00,33,1,25115,-45.8,-45.8,-45.8,-45.8,4,MGCQ4-MGCZ4
2024-06-02 22:17:00+00:00,33,1,1974,2392.2,2392.3,2392.2,2392.3,4,MGCZ4
2024-06-02 22:17:00+00:00,33,1,140737,-22.6,-22.6,-22.6,-22.6,1,MGCQ4-MGCV4
