ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-01-02 23:00:00+00:00,33,1,19256,1834.0,1834.7,1834.0,1834.7,2,MGCM2
2022-01-02 23:00:00+00:00,33,1,19159,1830.1,1831.9,1829.9,1830.5,162,MGCG2
2022-01-02 23:00:00+00:00,33,1,4949,-2.4,-2.4,-2.5,-2.5,6,MGCG2-MGCJ2
2022-01-02 23:00:00+00:00,33,1,1097,1833.0,1834.0,1832.6,1832.6,6,MGCJ2
2022-01-02 23:00:00+00:00,33,1,23174,-4.6,-4.6,-4.6,-4.6,1,MGCG2-MGCM2
2022-01-02 23:01:00+00:00,33,1,1097,1833.2,1833.2,1833.2,1833.2,1,MGCJ2
2022-01-02 23:01:00+00:00,33,1,4949,-2.4,-2.4,-2.4,-2.4,1,MGCG2-MGCJ2
2022-01-02 23:01:00+00:00,33,1,19159,1830.7,1831.6,1830.6,1831.6,34,MGCG2
2022-01-02 23:02:00+00:00,33,1,19256,1836.8,1836.8,1836.8,1836.8,1,MGCM2
2022-01-02 23:02:00+00:00,33,1,19159,1831.5,1832.2,1831.0,1831.7,87,MGCG2
2022-01-02 23:03:00+00:00,33,1,19159,1831.7,1832.0,1831.7,1831.8,25,MGCG2
2022-01-02 23:03:00+00:00,33,1,36333,-7.4,-7.4,-7.4,-7.4,1,MGCG2-MGCQ2
2022-01-02 23:03:00+00:00,33,1,7370,1839.2,1839.2,1839.2,1839.2,1,MGCQ2
2022-01-02 23:04:00+00:00,33,1,19159,1831.7,1831.9,1831.5,1831.9,33,MGCG2
2022-01-02 23:05:00+00:00,33,1,19159,1831.7,1831.9,1830.8,1831.0,19,MGCG2
2022-01-02 23:06:00+00:00,33,1,19159,1830.9,1831.4,1830.9,1831.0,23,MGCG2
2022-01-02 23:07:00+00:00,33,1,7370,1838.1,1838.1,1838.1,1838.1,2,MGCQ2
2022-01-02 23:07:00+00:00,33,1,36333,-7.4,-7.4,-7.4,-7.4,2,MGCG2-MGCQ2
2022-01-02 23:07:00+00:00,33,1,19159,1830.8,1831.0,1830.5,1830.8,25,MGCG2
2022-01-02 23:08:00+00:00,33,1,19159,1831.0,1831.5,1831.0,1831.5,15,MGCG2
2022-01-02 23:09:00+00:00,33,1,36333,-7.2,-7.2,-7.2,-7.2,2,MGCG2-MGCQ2
2022-01-02 23:09:00+00:00,33,1,4949,-2.4,-2.4,-2.4,-2.4,2,MGCG2-MGCJ2
2022-01-02 23:09:00+00:00,33,1,7370,1839.9,1839.9,1839.9,1839.9,2,MGCQ2
2022-01-02 23:09:00+00:00,33,1,1097,1834.7,1835.1,1834.7,1835.1,2,MGCJ2
2022-01-02 23:09:00+00:00,33,1,19159,1832.0,1832.9,1831.8,1832.7,42,MGCG2
2022-01-02 23:10:00+00:00,33,1,19159,1832.6,1832.6,1832.1,1832.2,21,MGCG2
2022-01-02 23:11:00+00:00,33,1,19159,1832.2,1832.3,1831.2,1831.8,29,MGCG2
2022-01-02 23:11:00+00:00,33,1,1097,1834.4,1834.4,1834.4,1834.4,2,MGCJ2
2022-01-02 23:11:00+00:00,33,1,4949,-2.5,-2.5,-2.5,-2.5,2,MGCG2-MGCJ2
2022-01-02 23:12:00+00:00,33,1,19159,1831.8,1832.0,1831.8,1832.0,5,MGCG2
2022-01-02 23:13:00+00:00,33,1,4949,-2.5,-2.5,-2.5,-2.5,2,MGCG2-MGCJ2
2022-01-02 23:13:00+00:00,33,1,19159,1832.1,1832.1,1831.7,1831.7,12,MGCG2
2022-01-02 23:13:00+00:00,33,1,1097,1834.2,1834.2,1834.2,1834.2,2,MGCJ2
2022-01-02 23:14:00+00:00,33,1,4949,-2.4,-2.4,-2.4,-2.4,1,MGCG2-MGCJ2
2022-01-02 23:14:00+00:00,33,1,19256,1836.7,1836.7,1836.7,1836.7,1,MGCM2
2022-01-02 23:14:00+00:00,33,1,23174,-4.8,-4.8,-4.8,-4.8,1,MGCG2-MGCM2
2022-01-02 23:14:00+00:00,33,1,19159,1831.9,1831.9,1831.3,1831.6,16,MGCG2
2022-01-02 23:14:00+00:00,33,1,1097,1833.8,1833.8,1833.8,1833.8,1,MGCJ2
2022-01-02 23:15:00+00:00,33,1,19159,1831.2,1831.4,1831.1,1831.4,20,MGCG2
2022-01-02 23:15:00+00:00,33,1,64774,-12.1,-12.1,-12.1,-12.1,1,MGCG2-MGCZ2
